title,price,location,bedrooms,bathrooms,toilets,size_value,property_type,price_per_bedroom,price_per_size
6 bedroom detached bungalow for sale,130000000.0,Ile Tuntun Jericho Extension,6.0,6.0,6.0,650,bungalow,21666666.666666668,200000.0
3 bedroom detached duplex for sale,90000000.0,Phase 1,3.0,4.0,4.0,300,duplex,30000000.0,300000.0
4 bedroom detached duplex for sale,230000000.0,Golf Club,4.0,4.0,5.0,410,duplex,57500000.0,560975.6097560975
Block of flats for sale,75000000.0,Opposite Welfare Hospital,4.0,4.0,4.0,410,apartment,18750000.0,182926.82926829267
4 bedroom detached duplex for sale,200000000.0,New Bodija,4.0,4.0,5.0,410,duplex,50000000.0,487804.8780487805
4 bedroom terraced duplex for sale,90000000.0,Akobo,4.0,4.0,5.0,410,duplex,22500000.0,219512.19512195123
5 bedroom detached duplex for sale,210000000.0,Akobo,5.0,5.0,6.0,410,duplex,42000000.0,512195.1219512195
4 bedroom detached duplex for sale,270000000.0,Carlton Gate Estate Akobo,4.0,4.0,5.0,410,duplex,67500000.0,658536.5853658536
4 bedroom detached duplex for sale,220000000.0,Carlton Gate Estate Akobo,4.0,4.0,5.0,410,duplex,55000000.0,536585.3658536585
4 bedroom house for sale,250000000.0,Jericho Gra,4.0,4.0,5.0,410,other,62500000.0,609756.0975609756
3 bedroom detached bungalow for sale,65000000.0,Alegongo Akobo,3.0,3.0,4.0,410,bungalow,21666666.666666668,158536.58536585365
2 bedroom block of flats for sale,65000000.0,Behind Foodco Ringroad,2.0,2.0,3.0,410,apartment,32500000.0,158536.58536585365
1 bedroom block of flats for sale,55000000.0,Ringroad,1.0,1.0,2.0,410,apartment,55000000.0,134146.34146341463
3 bedroom detached duplex for sale,350000000.0,Samonda,3.0,3.0,3.0,410,duplex,116666666.66666667,853658.5365853659
4 bedroom detached duplex for sale,200000000.0,Oyo,4.0,4.0,5.0,410,duplex,50000000.0,487804.8780487805
4 bedroom detached duplex for sale,300000000.0,Akobo,4.0,5.0,5.0,410,duplex,75000000.0,731707.3170731707
3 bedroom detached bungalow for sale,83000000.0,Akala Way,3.0,4.0,4.0,400,bungalow,27666666.666666668,207500.0
5 bedroom house for sale,160000000.0,Bashorun Housing Estate Akobo,5.0,6.0,6.0,1,other,32000000.0,160000000.0
4 bedroom detached duplex for sale,320000000.0,Agodi,4.0,4.0,5.0,1,duplex,80000000.0,320000000.0
5 bedroom house for sale,450000000.0,Engr Lere Adigun Gra,5.0,5.0,6.0,500,other,90000000.0,900000.0
4 bedroom detached duplex for sale,465000000.0,Akobo,4.0,4.0,5.0,500,duplex,116250000.0,930000.0
4 bedroom detached duplex for sale,240000000.0,Jericho,4.0,4.0,5.0,500,duplex,60000000.0,480000.0
2 bedroom block of flats for sale,250000000.0,Old Bodija,2.0,2.0,3.0,1,apartment,125000000.0,250000000.0
4 bedroom detached bungalow for sale,75000000.0,Yanbule Area Bashorun,4.0,4.0,5.0,1,bungalow,18750000.0,75000000.0
4 bedroom detached duplex for sale,280000000.0,Akobo,4.0,4.0,5.0,500,duplex,70000000.0,560000.0
4 bedroom detached duplex for sale,250000000.0,Oluyole Estate,4.0,4.0,5.0,500,duplex,62500000.0,500000.0
4 bedroom detached duplex for sale,260000000.0,Oluyole Estate,4.0,4.0,5.0,500,duplex,65000000.0,520000.0
6 bedroom detached duplex for sale,220000000.0,Challenge,6.0,6.0,7.0,500,duplex,36666666.666666664,440000.0
Block of flats for sale,45000000.0,Kulodi,4.0,4.0,4.0,500,apartment,11250000.0,90000.0
3 bedroom detached bungalow for sale,6000000.0,Apete,3.0,3.0,3.0,500,bungalow,2000000.0,12000.0
5 bedroom detached duplex for sale,55000000.0,Apata,5.0,5.0,5.0,500,duplex,11000000.0,110000.0
Block of flats for sale,30000000.0,Adegbayi,4.0,4.0,4.0,500,apartment,7500000.0,60000.0
5 bedroom detached duplex for sale,60000000.0,orita Challenge,5.0,5.0,5.0,500,duplex,12000000.0,120000.0
4 bedroom detached bungalow for sale,80000000.0,Akobo,4.0,4.0,4.0,500,bungalow,20000000.0,160000.0
2 bedroom terraced duplex for sale,90000000.0,Akobo,2.0,2.0,2.0,500,duplex,45000000.0,180000.0
3 bedroom detached bungalow for sale,35000000.0,Osengere,3.0,3.0,4.0,500,bungalow,11666666.666666666,70000.0
4 bedroom detached duplex for sale,310000000.0,Akobo,4.0,5.0,5.0,620,duplex,77500000.0,500000.0
